id,entity,type
0,Công ty Nestlé Việt Nam,B-ORG
1,Đồng Nai,B-LOC
2,Sputnik Việt Nam,B-ORG
3,Việt Nam,B-LOC
4,Cục Đầu tư nước ngoài,B-ORG
5,Bộ Kế hoạch và Đầu tư,B-ORG
6,Đỗ Nhất Hoàng,B-PER
7,Bắc Giang,B-LOC
8,Nhà máy công nghệ chính xác Fulian,B-ORG
9,Ingrasys Pte . Ltd,B-ORG
10,Công ty TNHH Fulian,B-ORG
11,Hainan Longi Green Energy Technology Company Limited,B-ORG
12,Ban Quản lý các khu công nghiệp tỉnh Bắc Giang,B-ORG
13,Ủy ban Nhân dân tỉnh Bắc Giang,B-ORG
14,Lê Ánh Dương,B-PER
15,Nguyễn Chí Dũng,B-PER
17,Vietnam cục Thống kê,B-LOC
18,cửa khẩu Lào Cai,B-LOC
19,Hoa Kỳ,B-LOC
20,Trung Quốc,B-LOC
21,Tổng cục Thống kê,B-ORG
22,Vietnam +,B-LOC
23,Bộ Công Thương,B-ORG
24,Nguyễn Văn Hiếu,B-PER
25,Tập đoàn Lộc Trời,B-ORG
26,Thúy Hiền,B-PER
27,Bộ Xây dựng,B-ORG
28,Bộ Tài nguyên và Môi trường,B-ORG
30,miền Nam,B-LOC
31,Biển Bắc,B-LOC
32,Đài truyền hình quốc gia IRIB,B-ORG
33,thành phố Isfahan,B-LOC
34,Stefano Grasso,B-PER
35,Tổ chức các Nước Xuất khẩu Dầu mỏ,B-ORG
36,OPEC +,B-ORG
37,Hồng Đạt,B-PER
39,Cục Đăng ký kinh doanh,B-ORG
41,Tuấn Anh,B-PER
42,Bộ Công an,B-ORG
43,Bộ Thông tin và Truyền thông,B-ORG
44,Ngân hàng nhà nước Việt Nam,B-ORG
45,Thu Hằng,B-PER
48,Ấn Độ,B-LOC
56,châu Á,B-LOC
57,Nhật Bản,B-LOC
58,Phố Wall,B-LOC
59,Hàn Quốc,B-LOC
60,Cục Dự trữ Liên bang Mỹ,B-ORG
62,Hong Kong,B-LOC
63,Hang Seng,B-LOC
64,Thượng Hải,B-LOC
65,Shanghai Composite,B-LOC
66,Fed nhóm họp,B-PER
67,Ngân hàng Trung ương châu Âu,B-ORG
68,Ngân hàng trung ương Anh,B-ORG
69,Janet Yellen,B-PER
70,VN Index,B-LOC
76,Đà Nẵng,B-LOC
77,Kiên Giang,B-LOC
78,Thành phố Hồ Chí Minh,B-LOC
79,Hà Nội,B-LOC
80,Quảng Ninh,B-LOC
81,Thừa Thiên - Huế,B-LOC
82,Hải Phòng,B-LOC
83,Tiền Giang,B-LOC
84,Lào Cai,B-LOC
85,Hồ Chí Minh,B-LOC
87,Khánh Hòa,B-LOC
88,Bà Rịa - Vũng Tàu,B-LOC
89,Cần Thơ,B-LOC
91,Hoàng Ánh Dương,B-PER
92,Tổng cục Quản lý thị trường,B-ORG
94,Hoài Thu,B-PER
111,Hoàng Ánh Dương Quản lý thị trường,B-PER
115,Ninh Thuận,B-LOC
116,tỉnh Ninh Thuận,B-LOC
117,Sở Nông nghiệp và Phát triển Nông thôn tỉnh Ninh Thuận,B-ORG
118,Đặng Văn Tín,B-PER
119,Chi cục Thủy sản tỉnh Ninh Thuận,B-ORG
120,Võ Đình Vinh,B-PER
121,Sở Công Thương tỉnh Ninh Thuận tổng,B-ORG
122,Cà Cá,B-LOC
123,khu công nghiệp Cà Ná điện khí,B-LOC
124,LNG Cà Ná,B-LOC
125,Ninh Chữ,B-LOC
126,UBND tỉnh Ninh Thuận,B-ORG
127,khu du lịch Bình Tiên,B-LOC
128,Nara Bình Tiên,B-LOC
129,Sunbay Park Hotel & Resort,B-LOC
130,Quán Thẻ CaNa,B-LOC
131,Tỉnh Ninh Thuận,B-LOC
132,khu công nghiệp Cà Ná,B-LOC
133,cảng tổng hợp Cà Ná,B-LOC
134,nhà máy điện khí LNG,B-LOC
135,Cà Ná,B-LOC
136,cao tốc Bắc Nam,B-LOC
137,Quốc lộ 1,B-LOC
141,Trường Đại học Nguyễn Tất Thành,B-ORG
142,Ủy ban Nhân dân tỉnh Ninh Thuận,B-ORG
143,xã Xuân Hải,B-LOC
144,huyện Ninh Hải,B-LOC
145,xã Phước Thuận,B-LOC
146,huyện Ninh Phước,B-LOC
147,Nguyễn Thành,B-PER
148,Tổ chức Y tế Thế giới,B-ORG
149,khu công nghiệp Phước Nam,B-LOC
150,huyện Thuận Nam,B-LOC
151,Nguyễn Long Biên,B-PER
152,Bộ Y tế,B-ORG
154,Mỹ Phương,B-PER
171,Đông Xuân,B-LOC
173,Ủy ban nhân dân tỉnh Tiền Giang,B-ORG
174,Phạm Văn Trọng,B-PER
175,sông Tiền,B-LOC
176,Cái Sơn,B-LOC
177,Mù U,B-LOC
178,Hai Tân,B-LOC
179,Cây Cồng,B-LOC
180,Phú Phong,B-LOC
181,Rạch Gầm,B-LOC
182,Gò Công,B-LOC
183,Bảo Định,B-LOC
184,Công ty TNHH MTV Khai thác công trình thủy lợi Tiền Giang,B-ORG
185,huyện Gò Công Đông,B-LOC
186,Gò Công Tây,B-LOC
187,Năm Thôn,B-LOC
188,Hàm Luông,B-LOC
189,Trần Việt,B-PER
191,Công ty Vàng bạc đá quý Sài Gòn,B-ORG
192,Công ty Vàng bạc đá quý Phú Quý,B-ORG
193,Công ty vàng bạc đá quý Sài Gòn,B-ORG
194,Công ty Doji,B-ORG
196,Công ty Phú Quý,B-ORG
197,Công ty Bảo Tín Minh Châu Rồng Thăng Long,B-ORG
198,Bảo Tín Minh Châu,B-ORG
199,Ngân hàng Nhà nước,B-ORG
200,Ngân hàng Vietcombank,B-ORG
201,Ngân hàng BIDV,B-ORG
202,Ngân hàng Eximbank,B-ORG
203,Đức Duy,B-PER
208,Cục Dự trữ Liên bang Mỹ,B-ORG
209,Công ty Quản lý tài sản,B-ORG
210,SIA Wealth Management,B-ORG
211,Colin Cieszynski,B-PER
212,Đô Mỹ Trúc,B-PER
213,Lý Dật Thần,B-PER
214,Ngô Diệc Phàm,B-PER
216,Bắc Kinh,B-LOC
218,Đỗ Mỹ Trúc,B-PER
219,MLD Entertainment,B-ORG
221,phố đi bộ,B-LOC
222,Hồ Gươm,B-LOC
224,Zoom TV,B-ORG
225,Sư đoàn Bộ binh,B-ORG
226,Trung tâm Huấn luyện Tuyển dụng Chủ chốt Yeoncheon,B-ORG
227,Sư đoàn bộ binh quân lực số,B-ORG
229,Võ Hoàng Yến,B-PER
230,Marc Anthony,B-PER
231,Nadia Ferreira,B-PER
232,Bảo tàng Nghệ thuật Pérez,B-LOC
233,David Beckham,B-PER
234,Mark Anthony,B-PER
235,Salma Hayek,B-PER
236,Liun Manuel Miranda,B-PER
237,Luis Fonsi,B-PER
238,Entertainment Tonight,B-ORG
239,tờ Hola,B-ORG
240,Jennifer Lopez,B-PER
241,nhà hàng Sexy Fish,B-LOC
242,Hoắc Kiến Hoa,B-PER
243,Lâm Tâm Như,B-PER
244,Viện nghiên cứu kinh doanh Hàn Quốc,B-ORG
245,Lim Young Woong,B-PER
247,Song Hye Kyo,B-PER
248,Yoo Jae Suk,B-PER
249,Song Joong Ki,B-PER
250,Cha Eun Woo,B-PER
251,Ba Lan,B-LOC
252,Viện Hàn lâm,B-ORG
253,Pierce Conran,B-PER
254,Park Chan Wook,B-PER
255,Jung Deok Hyun,B-PER
256,The Korea Herald,B-ORG
258,British Academy of Film and Television Arts,B-ORG
259,Viện Hàn lâm Nghệ thuật Điện ảnh và Truyền hình Anh,B-ORG
260,tiếng Anh,B-MISC
261,người Việt,B-MISC
262,Hà Lê,B-PER
263,Gia Linh,B-PER
265,Hà Giang,B-LOC
266,The Black Label,B-ORG
267,Billboard Global Ex,B-ORG
268,Vương quốc Anh,B-LOC
269,Billboard Japan,B-ORG
270,YG Entertainment,B-ORG
273,Born Pink,B-MISC
274,PUBG Mobile,B-ORG
275,MTV Europe Music,B-ORG
276,Guinness World Records,B-ORG
277,20th Century Studios,B-ORG
279,MTV Video Music,B-ORG
281,Page Six,B-ORG
282,Kim Hye Soo,B-PER
284,Shim Eun Seok,B-PER
286,Bảo Trâm,B-PER
287,Ngọc Anh,B-PER
288,Anh Tú,B-PER
290,Ahn Jin Yong,B-PER
291,Moonhwa Ilbo,B-ORG
294,Lee Jong Seok,B-PER
295,Ji Chang Wook,B-PER
296,Jeon Ji Hyun,B-PER
298,Tom Cruise,B-PER
299,Ninh Bình,B-LOC
300,Hà Anh Tuấn,B-PER
302,Võ Thiện Thanh,B-PER
303,Cao Trung Hiếu,B-PER
304,cố đô Hoa Lư,B-LOC
307,Á Đông,B-LOC
308,vua Đinh,B-PER
309,Việt Anh,B-PER
310,Cố đô Hoa Lư,B-LOC
312,Nguyễn Việt Bắc,B-PER
313,Lê Ngọc Linh,B-PER
314,Nguyễn Hùng Vỹ,B-PER
316,Đông Nam Á,B-LOC
317,Tổ chức Nhân quyền Rights,B-ORG
318,Liên hợp quốc,B-ORG
319,Global Wellness,B-ORG
320,Ủy ban Nhân quyền Liên hiệp quốc,B-ORG
321,Hội An,B-LOC
322,Nha Trang,B-LOC
323,Phú Quốc,B-LOC
324,AXN Asia,B-ORG
328,Thanh Thanh Huyền,B-PER
329,VTV3 Charm Việt Nam,B-ORG
330,người Thái,B-MISC
331,Thùy Tiên,B-PER
332,Pan Entertainment,B-ORG
333,Park Bo Gum,B-PER
334,Ae Soon,B-PER
335,Gwan Shik,B-PER
336,đảo Jeju,B-LOC
337,Im Sang Choon,B-PER
338,Kim Won Seok,B-PER
339,Lee Jong Suk,B-PER
343,Huỳnh Khánh Ly,B-PER
344,Tommy Phạm,B-PER
345,New York,B-LOC
346,Peter Do,B-PER
347,người Mỹ,B-MISC
348,Nguyễn Thanh Hiền,B-PER
349,Trung tâm Kennedy,B-ORG
350,Thủ dô Washington,B-LOC
352,tổ chức Việt Nam Society,B-ORG
353,Vietnam Centre,B-ORG
354,Nam Ngọc Hiên,B-ORG
355,Hom Nguyễn,B-PER
356,Emmanuel Macron,B-PER
357,tiếng Việt,B-MISC
358,Đại học Columbia New York,B-ORG
359,Địch Lệ Nhiệt Ba,B-PER
361,Emma Watson,B-PER
363,Alexandra Daddario,B-PER
364,Hande Ercel,B-PER
365,Yaya Urassaya Sperbund,B-PER
366,Deepika Padukone,B-PER
367,Katherine Langford,B-PER
368,Gal Gadot,B-PER
369,Thuỳ Tiên,B-PER
370,Nguyễn Thúc Thuỳ Tiên,B-PER
372,Thiên Ân,B-PER
373,Entertainment Company Plus,B-ORG
375,Trường đại học Sungkyunkwan,B-ORG
376,Park Ji Hyun,B-PER
377,Kang Ha Neul,B-PER
378,Hwang Young Woong,B-PER
380,Song Ga In,B-PER
381,Han Ga In,B-PER
384,Moon Dong Eun,B-PER
385,Dong Eun,B-PER
386,ELLE Korea,B-ORG
387,thành phố Hồ Chí Minh,B-LOC
388,miền Bắc,B-LOC
389,Bắc Bộ,B-LOC
390,Nguyễn Tiến Dũng,B-PER
391,Nhà hát múa rối Việt Nam,B-ORG
392,Trịnh Thúy Mùi,B-PER
393,Hội Nghệ sĩ sân khấu Việt Nam,B-ORG
394,Đức Huy,B-PER
395,Trịnh Nam Sơn,B-PER
398,Trấn Thành,B-PER
399,Hồ Việt Triều,B-PER
401,Công an tỉnh Bạc Liêu,B-ORG
402,VŨ PHONG,B-PER
403,Lê Việt Thắng,B-PER
404,Hưng Yên,B-LOC
405,Công an tỉnh Yên Bái,B-ORG
406,tỉnh Bến Tre,B-LOC
407,Công an tỉnh Cà Mau,B-ORG
408,Lương Tam Quang,B-PER
409,Hồ Việt Lắm,B-PER
410,Cục An ninh Tây Nam Bộ,B-ORG
411,Công an Cà Mau,B-ORG
412,Công an huyện Ngọc Hiển,B-ORG
413,Công an thành phố Cà Mau,B-ORG
414,Bộ Tư pháp,B-ORG
416,Ngân hàng Thế giới,B-ORG
417,chợ đầu mối nông sản thực phẩm Thủ Đức,B-LOC
418,Đà Lạt,B-LOC
419,Lý Sơn,B-LOC
420,Phan Rang,B-LOC
422,Công ty nghiên cứu TGM,B-ORG
423,kênh A41,B-LOC
424,LÊ NAM,B-PER
425,UBND TP . HCM,B-ORG
426,Bùi Xuân Cường,B-PER
427,quận Tân Bình,B-LOC
428,phường 4,B-LOC
429,sân bay Tân Sơn Nhất,B-LOC
430,UBND quận Tân Bình,B-ORG
431,Bình Thuận,B-LOC
432,thành phố Phan Thiết,B-LOC
433,TP Hà Nội,B-LOC
436,QUANG ĐỊNH,B-PER
437,Trung tâm Dự báo khí tượng thủy văn quốc gia,B-ORG
439,Bắc Trung Bộ,B-LOC
440,Trung Trung Bộ,B-LOC
441,Nam Bộ,B-LOC
442,Biển Đông,B-LOC
446,Cà Mau,B-LOC
447,quần đảo Trường Sa,B-LOC
448,Thủ đô Hà Nội,B-LOC
449,Tây Bắc Bộ,B-LOC
450,Đông Bắc Bộ,B-LOC
451,Thanh Hóa,B-LOC
452,Thừa Thiên Huế,B-LOC
453,Nghệ An,B-LOC
454,Tây Nguyên,B-LOC
455,miền Đông,B-LOC
456,NGỌC THÀNH,B-PER
457,Tân Cảng,B-LOC
458,Cát Lái,B-LOC
459,Tổng công ty Tân Cảng Sài Gòn,B-ORG
460,Quân cảng Sài Gòn,B-ORG
461,Quân chủng Hải quân,B-ORG
463,cảng Tân Cảng,B-LOC
464,Đồng bằng sông Cửu Long,B-LOC
465,Phạm Minh Chính,B-PER
466,Thành ủy TP . HCM,B-ORG
467,Nguyễn Văn Nên,B-PER
468,NHƯ BÌNH,B-PER
469,NGUYỄN HIỀN,B-PER
470,Hùng Vương,B-PER
471,sân bay Long Thành,B-LOC
472,HÀ MI,B-PER
474,Bộ Giao thông vận tải,B-ORG
475,Tổng công ty Cảng hàng không Việt Nam,B-ORG
476,Ủy ban Quản lý vốn nhà nước,B-ORG
477,tỉnh Đồng Nai,B-LOC
479,MẬU TRƯỜNG,B-PER
480,xã Thành Triệu,B-LOC
481,huyện Châu Thành,B-LOC
483,Công an xã Thành Triệu,B-ORG
484,Công an tỉnh Bến Tre,B-ORG
485,Công an huyện Châu Thành,B-ORG
486,Tuổi Trẻ Online,B-ORG
487,UBND xã Thu Cúc,B-ORG
488,huyện Tân Sơn,B-LOC
489,tỉnh Phú Thọ,B-LOC
490,đèo Cón,B-LOC
492,quốc lộ 32B,B-LOC
493,Sơn La,B-LOC
494,Tân Sơn,B-LOC
495,Phú Thọ,B-LOC
496,xã Thu Cúc,B-LOC
497,quốc lộ 32,B-LOC
498,Bệnh viện Đa khoa huyện Tân Sơn,B-LOC
499,GIA ĐOÀN,B-ORG
501,Trần Văn Hà,B-PER
502,Sở Lao động - Thương binh và Xã hội Bắc Giang,B-ORG
503,Liên đoàn Lao động TP Hà Nội,B-ORG
504,Ban quản lý khu kinh tế tỉnh Quảng Ninh,B-ORG
505,Liên đoàn Lao động tỉnh Quảng Ninh,B-ORG
506,Sở Lao động - Thương binh và Xã hội tỉnh Quảng Ninh,B-ORG
507,Sở Lao động - Thương binh và xã hội Nghệ An,B-ORG
509,HÀ QUÂN,B-PER
510,Ma Shu Min,B-PER
511,Công ty TNHH Dệt may Weitai Hạ Long,B-ORG
512,Khu công nghiệp Việt Hưng,B-LOC
513,TP Hạ Long,B-LOC
514,Zhang Shu Xia,B-PER
515,Công ty TNHH Công nghệ Jinko Solar Việt Nam,B-ORG
516,Công ty TNHH may mặc Hoa Lợi Đạt,B-ORG
517,Khu công nghiệp Hải Hà,B-LOC
521,Móng Cá,B-LOC
522,Trung tâm đăng kiểm XCG,B-ORG
523,THU DUNG,B-PER
525,TP Thủ Đức,B-LOC
526,Trung tâm kiểm 50 05,B-ORG
528,HOÀNG NAM,B-PER
529,Ngô Hồng Phúc,B-PER
530,Nguyễn Tấn Tài,B-PER
531,quận Bình Thạnh,B-LOC
532,Cục Đăng kiểm Việt Nam,B-ORG
533,Khuất Duy Thịnh,B-PER
534,Trung tâm đăng kiểm 50 - 05V,B-ORG
535,Sở Giao thông vận tải TP . HCM,B-ORG
536,Trung tâm đăng kiểm 50 - 03S,B-ORG
537,Trung tâm đăng 50 - 01S,B-ORG
538,quận Bình Tân,B-LOC
539,Trung tâm đăng kiểm 50 - 02S,B-ORG
540,quận 11,B-LOC
541,Thích Minh Chúc,B-PER
542,chùa Vạn Phước,B-LOC
543,xã Châu Pha,B-LOC
544,thị xã Phú Mỹ,B-LOC
545,tỉnh Bà Rịa - Vũng Tàu,B-LOC
546,Thích Chúc Minh,B-PER
548,Nguyễn Trung Hiếu,B-PER
549,Công an phường Linh Trung,B-ORG
551,MINH HÒA,B-PER
552,Cục Cảnh sát quản lý hành chính về trật tự xã hội,B-ORG
554,Bệnh viện dã chiến số 13,B-LOC
555,PHƯƠNG QUYÊN,B-PER
556,Sở Y tế TP . HCM,B-ORG
559,Trung tâm Kiểm soát bệnh tật TP . HCM,B-ORG
563,Tân Vạn,B-LOC
564,Nhơn Trạch,B-LOC
565,HỮU HẠNH,B-PER
566,Ban Quản lý dự án Mỹ Thuận,B-ORG
567,cao tốc TP . HCM,B-LOC
568,Long Thành,B-LOC
569,Dầu Giây,B-LOC
570,sông Đồng Nai,B-LOC
571,tỉnh lộ 25B,B-LOC
572,cầu Nhơn Trạch,B-LOC
575,Bình Dương,B-LOC
576,Long An,B-LOC
577,UBND tỉnh Long An,B-ORG
581,huyện Củ Chi,B-LOC
582,Hóc Môn,B-LOC
583,Bình Chánh,B-LOC
584,phường Long Bình,B-LOC
585,Long Thạnh Mỹ,B-LOC
586,xã Tân Thạnh Tây,B-LOC
587,huyện Hóc Môn,B-LOC
588,xã Xuân Thới Đông,B-LOC
589,huyện Bình Chánh,B-LOC
590,Khu công nghiệp An Hạ,B-LOC
591,xã Phạm Văn Hai,B-LOC
592,cảng Hòn Rớ,B-LOC
593,VÂN HẰNG,B-PER
594,Ban quản lý cảng Hòn Rớ,B-ORG
595,Nguyễn Ngọc Hội,B-PER
596,phường Vĩnh Phước,B-LOC
597,TP Nha Trang,B-LOC
599,Huỳnh Điệm,B-PER
600,Nguyễn Văn Khôi,B-PER
601,xã Phước Đồng,B-LOC
603,THỤC NGHI,B-PER
606,Lộc An,B-LOC
607,Bình Sơn,B-LOC
608,Cao Tiến Dũng,B-PER
